Sort_Date,Plot_Treatment,Plot_Replicate,Drought_Treatment,Plot_ID,Footprint_Full,Sample_Date,Sample_Week,Days_Since_Irrigation,Genus,Epithet,Species,Reproductive_Yes1_No0,Number,Voucher,Sorter,Notes
7/21/2021,T2,R3,D1,T2_R3_D1,Y1 Drought (soy),7/13/2021,2,4,Solenopsis,molesta,Solenopsis molesta,0,2,NHKBS3291,JDS,
7/21/2021,T2,R1,D1,T2_R1_D1,Y1 Drought (soy),7/13/2021,2,4,Tetramorium,immigrans,Tetramorium immigrans,0,2,NHKBS3294,JDS,
8/27/2021,T7,R6,D1,T7_R6_D1,Y1 Drought (soy),7/13/2021,2,4,Myrmica,americana,Myrmica americana,0,6,NHKBS3480,JDS,
8/27/2021,T7,R6,D1,T7_R6_D1,Y1 Drought (soy),7/13/2021,2,4,Aphaenogaster,rudis,Aphaenogaster rudis,0,2,NHKBS3481,JDS,
8/27/2021,T7,R6,D1,T7_R6_D1,Y1 Drought (soy),7/13/2021,2,4,Solenopsis,molesta,Solenopsis molesta,0,4,NHKBS3482,JDS,
8/27/2021,T7,R6,D1,T7_R6_D1,Y1 Drought (soy),7/13/2021,2,4,Unknown,,Unknown,0,1,NULL,JDS,ant missing head and gaster
8/30/2021,T1,R4,IR,T1_R4_IR,Control (irrigated),7/13/2021,2,1,Lasius,neoniger,Lasius neoniger,0,1,NHKBS3486,JDS,
8/30/2021,T1,R4,IR,T1_R4_IR,Control (irrigated),7/13/2021,2,1,Tetramorium,immigrans,Tetramorium immigrans,0,1,NHKBS3487,JDS,
8/30/2021,T1,R4,IR,T1_R4_IR,Control (irrigated),7/13/2021,2,1,Solenopsis,molesta,Solenopsis molesta,0,5,NHKBS3488,JDS,
8/30/2021,T1,R4,D1,T1_R4_D1,Y1 Drought (soy),7/13/2021,2,4,Lasius,neoniger,Lasius neoniger,0,4,NHKBS3489,JDS,
8/30/2021,T7,R5,D1,T7_R5_D1,Y1 Drought (soy),7/13/2021,2,4,Brachymyrmex ,depilis,Brachymyrmex  depilis,0,1,NHKBS3496,JDS,
8/30/2021,T7,R5,D1,T7_R5_D1,Y1 Drought (soy),7/13/2021,2,4,Aphaenogaster,carolinensis?,Aphaenogaster carolinensis?,0,1,NHKBS3497,JDS,
8/30/2021,T2,R3,IR,T2_R3_IR,Control (irrigated),7/13/2021,2,1,Myrmica,americana,Myrmica americana,0,1,NHKBS3500,JDS,
8/31/2021,T2,R3,VR,T2_R3_VR,Variable Rainfall,7/13/2021,2,7,Lasius,neoniger,Lasius neoniger,0,14,NHKBS3521,JDS,
8/31/2021,T2,R3,VR,T2_R3_VR,Variable Rainfall,7/13/2021,2,7,Myrmica,sp,Myrmica sp,0,1,NHKBS3522,JDS,
8/31/2021,T2,R3,VR,T2_R3_VR,Variable Rainfall,7/13/2021,2,7,Tetramorium,immigrans,Tetramorium immigrans,0,4,NHKBS3523,JDS,
8/31/2021,T2,R3,VR,T2_R3_VR,Variable Rainfall,7/13/2021,2,7,Solenopsis,molesta,Solenopsis molesta,0,1,NHKBS3524,JDS,
9/7/2021,T1,R4,VR,T1_R4_VR,Variable Rainfall,7/13/2021,2,7,Lasius,neoniger,Lasius neoniger,0,1,NHKBS3525,JDS,
9/7/2021,T7,R6,VR,T7_R6_VR,Variable Rainfall,7/13/2021,2,6,Brachymyrmex ,depilis,Brachymyrmex  depilis,0,2,NHKBS3526,JDS,
9/7/2021,T7,R6,VR,T7_R6_VR,Variable Rainfall,7/13/2021,2,6,Formica,pallidefulva,Formica pallidefulva,0,2,NHKBS3527,JDS,
9/7/2021,T7,R6,VR,T7_R6_VR,Variable Rainfall,7/13/2021,2,6,Tetramorium,immigrans,Tetramorium immigrans,0,2,NHKBS3528,JDS,
9/7/2021,T7,R6,VR,T7_R6_VR,Variable Rainfall,7/13/2021,2,6,Lasius,neoniger,Lasius neoniger,0,1,NHKBS3529,JDS,
7/21/2021,T2,R4,VR,T2_R4_VR,Variable Rainfall,7/19/2021,3,12,Lasius,neoniger,Lasius neoniger,0,2,NHKBS3282,JDS,"shelter was mislabeled as IR, corrected to VR "
